"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_registration","Sprint_1.POM.Registration","Mon Jun 23 06:30:44 GMT 2025","broken","Mon Jun 23 06:30:44 GMT 2025","TestTC","test_registration_password_is_hashed","",""
"","0","test_registration_wrong_email[user@-teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:30:37 GMT 2025","broken","Mon Jun 23 06:30:37 GMT 2025","TestTC","test_registration_negative_email","",""
"","0","test_registration_wrong_email[user@teszt.]","Sprint_1.POM.Registration","Mon Jun 23 06:30:36 GMT 2025","broken","Mon Jun 23 06:30:36 GMT 2025","TestTC","test_registration_negative_email","",""
"","0","test_password_check_3","Sprint_1.POM.Registration","Mon Jun 23 06:30:44 GMT 2025","broken","Mon Jun 23 06:30:44 GMT 2025","TestTC","test_registration_positive_password","",""
"","0","test_registration_password[Teszt1!]","Sprint_1.POM.Registration","Mon Jun 23 06:30:42 GMT 2025","broken","Mon Jun 23 06:30:42 GMT 2025","TestTC","test_registration_negative_password","",""
"","0","test_registration_show_password","Sprint_1.POM.Registration","Mon Jun 23 06:30:45 GMT 2025","broken","Mon Jun 23 06:30:45 GMT 2025","TestTC","test_registration_use_eye_icon","",""
"","0","test_registration_password[12345678]","Sprint_1.POM.Registration","Mon Jun 23 06:30:41 GMT 2025","broken","Mon Jun 23 06:30:41 GMT 2025","TestTC","test_registration_negative_password","",""
"","0","test_registration_wrong_email[user.teszt.hu]","Sprint_1.POM.Registration","Mon Jun 23 06:30:36 GMT 2025","broken","Mon Jun 23 06:30:36 GMT 2025","TestTC","test_registration_negative_email","",""
"","0","test_registration_password[Tesztjelszo]","Sprint_1.POM.Registration","Mon Jun 23 06:30:41 GMT 2025","broken","Mon Jun 23 06:30:41 GMT 2025","TestTC","test_registration_negative_password","",""
"","0","test_registration_password[Teszt1234]","Sprint_1.POM.Registration","Mon Jun 23 06:30:40 GMT 2025","broken","Mon Jun 23 06:30:40 GMT 2025","TestTC","test_registration_negative_password","",""
